energy,tempo,danceability,loudness,valence,speechiness,instrumentalness,acousticness,liveness,duration_ms,track_name,track_artist,playlist_genre,playlist_subgenre,track_popularity,popular,genre_group
0.592,157.969,0.521,-7.777,0.535,0.0304,0.0,0.308,0.122,251668.0,Die With A Smile,"Lady Gaga, Bruno Mars",pop,mainstream,100,1,pop
0.507,104.978,0.747,-10.171,0.438,0.0358,0.0608,0.2,0.117,210373.0,BIRDS OF A FEATHER,Billie Eilish,pop,mainstream,97,1,pop
0.808,108.548,0.554,-4.169,0.372,0.0368,0.0,0.214,0.159,166300.0,That’s So True,Gracie Abrams,pop,mainstream,93,1,pop
0.91,112.966,0.67,-4.07,0.786,0.0634,0.0,0.0939,0.304,157280.0,Taste,Sabrina Carpenter,pop,mainstream,81,1,pop
0.783,149.027,0.777,-4.477,0.939,0.26,0.0,0.0283,0.355,169917.0,APT.,"ROSÉ, Bruno Mars",pop,mainstream,98,1,pop
0.582,116.712,0.7,-5.96,0.785,0.0356,0.0,0.0502,0.0881,218424.0,"Good Luck, Babe!",Chappell Roan,pop,mainstream,94,1,pop
0.561,150.069,0.669,-6.538,0.841,0.0411,0.00962,0.495,0.0954,169698.0,Diet Pepsi,Addison Rae,pop,mainstream,88,1,pop
0.247,148.101,0.467,-12.002,0.126,0.0431,0.000271,0.612,0.17,261467.0,WILDFLOWER,Billie Eilish,pop,mainstream,93,1,pop
0.416,94.926,0.492,-10.439,0.297,0.0254,8.61e-05,0.686,0.203,211979.0,Sailor Song,Gigi Perez,pop,mainstream,71,1,pop
0.722,119.973,0.769,-5.485,0.57,0.0507,2.56e-06,0.0584,0.111,256000.0,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,mainstream,92,1,pop
0.667,130.019,0.776,-6.622,0.618,0.0983,0.3,0.0146,0.0761,145219.0,Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,mainstream,85,1,pop
0.586,107.071,0.669,-6.073,0.579,0.054,0.0,0.274,0.104,186365.0,Please Please Please,Sabrina Carpenter,pop,mainstream,88,1,pop
0.806,104.032,0.608,-3.443,0.587,0.0486,0.0,0.121,0.191,181821.0,2 hands,Tate McRae,pop,mainstream,79,1,pop
0.709,81.012,0.722,-4.95,0.604,0.0273,0.0,0.0633,0.0804,171292.0,A Bar Song (Tipsy),Shaboozey,pop,mainstream,86,1,pop
0.757,139.982,0.742,-4.981,0.957,0.0421,0.0,0.0187,0.305,184841.0,HOT TO GO!,Chappell Roan,pop,mainstream,88,1,pop
0.917,100.987,0.562,-2.768,0.501,0.117,0.0,0.0513,0.488,229997.0,Disease,Lady Gaga,pop,mainstream,86,1,pop
0.787,109.939,0.734,-3.951,0.672,0.116,0.0,0.126,0.312,155757.0,Moonlit Floor (Kiss Me),LISA,pop,mainstream,82,1,pop
